,Date,Notice_title,Reference_no.,OCID,Published_by,Deadline_date,Notice_type,Url
10,22-08-2022,Award of Data Analyst - Procurement,AUG456941,ocds-r6ebe6-0000701537,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456941
11,22-08-2022,Asbestos Removal and Asbestos Analytical Work - University of Aberdeen,AUG456938,ocds-r6ebe6-0000703857,University of Aberdeen,21-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456938
12,22-08-2022,ETZ Masterplan ITT,AUG456937,ocds-r6ebe6-0000658412,Energy Transition Zone Limited,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456937
13,22-08-2022,Project Management for the New Scottish Crannog Centre - project 1,AUG456933,ocds-r6ebe6-0000695594,The Scottish Crannog Centre Trust,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456933
14,22-08-2022,SEPA Environmental Radioactivity Monitoring Programme 2023 - 2029,AUG456931,ocds-r6ebe6-0000704154,Scottish Environment Protection Agency,23-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456931
15,22-08-2022,Tractor Towed Cut and Collect Flail Mowers with High Tip,AUG456930,ocds-r6ebe6-0000703935,Glasgow City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456930
16,22-08-2022,PROVISION OF RESEARCH INTO THE WHOLE FAMILY WELLBEING FUNDING - ELEMENT 2 SUPPORT PROGRAMME (2022 – 2024),AUG456922,ocds-r6ebe6-0000704170,Scottish Government,20-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456922
17,22-08-2022,Super-resolution microscopy system,AUG456920,ocds-r6ebe6-0000704171,University Of Edinburgh,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456920
18,22-08-2022,Framework Agreement for Learning and Development,AUG456919,ocds-r6ebe6-0000704072,The City of Edinburgh Council,22-Sep-22,21 Social and other Specific Services - Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456919
19,22-08-2022,ITU Haemofiltration,AUG456918,ocds-r6ebe6-0000703532,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456918
20,22-08-2022,Design Team for Orkney Research and Innovation Campus Phase 2,AUG456917,ocds-r6ebe6-0000701685,Highlands and Islands Enterprise,23-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456917
21,22-08-2022,"Bathroom Upgrades - 73x Bathrooms in Troon, Lauder, Callander and Langholm",AUG456914,ocds-r6ebe6-0000704179,Trust Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456914
22,22-08-2022,Banking Services Framework (2022-2026),AUG456912,ocds-r6ebe6-0000661609,Scottish Government,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456912
23,22-08-2022,High Pier Fenders - Inchcolm Island,AUG456910,ocds-r6ebe6-0000704166,Historic Environment Scotland,05-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456910
24,22-08-2022,"Kitchen Upgrades - 69x Kitchens in Stirling, Callander and Thornhill",AUG456907,ocds-r6ebe6-0000704169,Trust Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456907
25,22-08-2022,Kitchen Upgrades - 88x Kitchens in Wishaw and Shotts,AUG456906,ocds-r6ebe6-0000704164,Trust Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456906
26,22-08-2022,PMR – Conservation Treatment: Costumes,AUG456905,ocds-r6ebe6-0000703936,Renfrewshire Council,13-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456905
27,22-08-2022,"CSH22003 Grantown on Spey, Heating - Stage 2",AUG456901,ocds-r6ebe6-0000704155,The Highland Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456901
28,22-08-2022,Award of MSF 2017 - Safer - Creative Services,AUG456900,ocds-r6ebe6-0000699258,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456900
29,22-08-2022,"Refurbishment Ornamental Fountain, Dumfries",AUG456894,ocds-r6ebe6-0000693910,Dumfries and Galloway Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456894
30,22-08-2022,Argyll and the Islands Community Led Local Development (CLLD) Funding Programme 2022-23,AUG456879,ocds-r6ebe6-0000700165,Argyll and Bute Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456879
31,22-08-2022,Provision of artificial intelligence hardware and software,AUG456877,ocds-r6ebe6-0000703757,University of Strathclyde,,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456877
32,22-08-2022,"WLC Road Sweeping, Town Centre Deep Cleaning, Street Sign Cleaning",AUG456874,ocds-r6ebe6-0000685357,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456874
33,22-08-2022,Bridge Repairs at Fochabers & Glenlivet Estates,AUG456871,ocds-r6ebe6-0000704024,Crown Estate Scotland,16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456871
34,22-08-2022,"Lighting Column Structural Safety Inspections, North Ayrshire",AUG456870,ocds-r6ebe6-0000703852,North Ayrshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456870
35,22-08-2022,Framework for the ethical disposal of office equipment,AUG456867,ocds-r6ebe6-0000697030,Scottish Enterprise,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456867
36,22-08-2022,Overhaul of Thrusters on MPV Jura,AUG456866,ocds-r6ebe6-0000704088,Scottish Government,21-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456866
37,22-08-2022,Award of Provision of x2 Project Coordinators,AUG456860,ocds-r6ebe6-0000699844,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456860
38,22-08-2022,Stakeholder Engagement Strategy,AUG456859,ocds-r6ebe6-0000700059,Bòrd na Gàidhlig,,03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456859
39,22-08-2022,Supply and Installation of Street Lighting to Various Locations,AUG456858,ocds-r6ebe6-0000704083,Midlothian Council,23-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456858
40,22-08-2022,Contract Award for FIF21124 SG SP-21-037 Banking Services,AUG456856,ocds-r6ebe6-0000703297,NHS Fife,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456856
41,22-08-2022,Contract Award for FIF21029 Fire Alarm Maintenance,AUG456855,ocds-r6ebe6-0000703238,NHS Fife,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456855
42,22-08-2022,The value of the marine environment to Scottish recreational users: a choice experiment,AUG456854,ocds-r6ebe6-0000704094,Scottish Government,12-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456854
43,22-08-2022,"CU/556/21 Sectional Door Works Package at Muiredge Industrial Estate, Buckhaven, Leven",AUG456853,ocds-r6ebe6-0000704022,Fife Council,29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456853
44,22-08-2022,"Adam Smith Theatre, Phase 3 Refurbishment Works, WP001 Stage Lift",AUG456852,ocds-r6ebe6-0000704085,Fife Council,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456852
45,19-08-2022,Award of Contract - Provision of Sheriff Officer Services for Scottish Courts,AUG456848,ocds-r6ebe6-0000686986,Scottish Courts and Tribunals Service,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456848
46,19-08-2022,Shipyard Supervision Services,AUG456846,ocds-r6ebe6-0000704079,Caledonian Maritime Assets Ltd (Utility),20-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456846
47,19-08-2022,Modern Methods of Construction (MMC) New Homes Framework NH3,AUG456845,ocds-r6ebe6-0000703290,LHC for the Scottish Procurement Alliance (SPA),14-Oct-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456845
48,19-08-2022,Specialist Drama Education Services for HES Junior Tour Guides Programme,AUG456841,ocds-r6ebe6-0000704076,Historic Environment Scotland,27-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456841
49,19-08-2022,Framework Agreement for Learning and Development,AUG456840,ocds-r6ebe6-0000703363,The City of Edinburgh Council,,21 Social and other Specific Services - Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456840
50,19-08-2022,Concession for the Event Planning & Delivery Services of the Gran Fondo,AUG456837,ocds-r6ebe6-0000704068,2023 Cycling World Championships Ltd,20-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456837
51,19-08-2022,Professional Services Framework 2022 - 2026,AUG456836,ocds-r6ebe6-0000691115,Langstane Housing Association Ltd,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456836
52,19-08-2022,Labour and Plant Framework,AUG456835,ocds-r6ebe6-0000704055,Tayside Contracts,21-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456835
53,19-08-2022,Provision of Furniture Goods,AUG456832,ocds-r6ebe6-0000704059,Trust Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456832
54,19-08-2022,Provision of Floor Coverings,AUG456820,ocds-r6ebe6-0000704050,Trust Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456820
55,19-08-2022,PROC 22 1482(B) - Shetland Housing Stock External & Internal Refurbishment Works,AUG456818,ocds-r6ebe6-0000704042,Scottish Police Authority,16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456818
56,19-08-2022,MFA for Design Standards Advice and Professional Advice - DMRB Drainage Standards Review,AUG456814,ocds-r6ebe6-0000699848,Transport Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456814
57,19-08-2022,Meet the Buyer North Event - 7th September 2022,AUG456813,ocds-r6ebe6-0000703907,Moray Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456813
58,19-08-2022,Installation and Maintenance of Network Cabling & Related Services,AUG456811,ocds-r6ebe6-0000693887,North Ayrshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456811
59,19-08-2022,"Construction of Flats & FIT Homes, Cawdor Road, Nairn",AUG456806,ocds-r6ebe6-0000661871,Albyn Housing Society Limited,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456806
60,19-08-2022,Elderpark Housing Association - Two Year Responsive Repairs Services and Void Property Works Contract 2022-2024,AUG456805,ocds-r6ebe6-0000696572,Elderpark Housing Association,,03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456805
61,19-08-2022,Peatland ACTION - Proposed Restoration - Camster and Thrumster - Caithness,AUG456803,ocds-r6ebe6-0000703997,Scottish Natural Heritage,08-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456803
62,19-08-2022,Reopening of Flexible Framework for Early Learning and Childcare Places (New Entrants January 2022),AUG456801,ocds-r6ebe6-0000667761,Renfrewshire Council,,21 Social and other Specific Services - Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456801
63,19-08-2022,"WLC Plumbing, Gas & Heating Spares",AUG456800,ocds-r6ebe6-0000683032,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456800
64,19-08-2022,2549 - Design Services for CPI Coxon Building expansion to existing pharmaceutical laboratories,AUG456799,ocds-r6ebe6-0000704007,Centre for Process Innovation Limited,05-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456799
65,19-08-2022,"P7601935 Glen Pavilion, Changing Places, Electrical Installation",AUG456796,ocds-r6ebe6-0000704017,Fife Council,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456796
66,19-08-2022,2306 - Procurement Resourcing Framework,AUG456792,ocds-r6ebe6-0000670814,Centre for Process Innovation Limited,18-Aug-22,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456792
67,19-08-2022,Framework for Glazing Replacement Works,AUG456791,ocds-r6ebe6-0000703970,Fife Council,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456791
68,19-08-2022,CC11527 - Short Breaks Respite at Home and in the Community Flexible Framework,AUG456784,ocds-r6ebe6-0000703969,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456784
69,19-08-2022,10820 Installation of Heating Controls within D Hall at HMP Barlinnie,AUG456783,ocds-r6ebe6-0000691730,Scottish Prison Service,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456783
70,19-08-2022,"EDC/2022/3499 - Study of Waiting & Loading in Cowgate, Kirkintilloch",AUG456781,ocds-r6ebe6-0000701502,East Dunbartonshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456781
71,19-08-2022,"Provision of Fireworks, Pyrotechnics and Special Effects",AUG456780,ocds-r6ebe6-0000703417,Glasgow Life (Culture & Sport Glasgow),02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456780
72,19-08-2022,CS-MC-19069 Provision of Associate Trainers - Framework,AUG456779,ocds-r6ebe6-0000696734,UHI Moray,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456779
73,19-08-2022,Aberdeenshire Resurfacing Works 2022-23,AUG456777,ocds-r6ebe6-0000703962,Aberdeenshire Council,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456777
74,19-08-2022,WLC Trades Contractors Framework,AUG456773,ocds-r6ebe6-0000667659,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456773
75,19-08-2022,Back-end Software Engineer,AUG456772,ocds-r6ebe6-0000703414,Disclosure Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456772
76,19-08-2022,Back-end Software Engineer,AUG456771,ocds-r6ebe6-0000703500,Disclosure Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456771
77,19-08-2022,Back-end Software Engineer,AUG456768,ocds-r6ebe6-0000703506,Disclosure Scotland,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456768
78,19-08-2022,Planned Residential Respite Care for Older People,AUG456767,ocds-r6ebe6-0000703711,East Lothian Council,,21 Social and other Specific Services - PIN,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456767
79,19-08-2022,Kitchen Unit Replacements & Boiler Renewals 2022 - 2023 (Pineview Housing Association),AUG456766,ocds-r6ebe6-0000701944,Pineview Housing Association Ltd,19-Oct-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456766
80,19-08-2022,Noblehill Nursery Extension works,AUG456760,ocds-r6ebe6-0000697621,Dumfries and Galloway Council,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456760
81,19-08-2022,Framework For Transportation - Mini Competition ASN Buses,AUG456757,ocds-r6ebe6-0000701680,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456757
82,19-08-2022,Framework For Transportation - Mini Competition ASN Taxis,AUG456756,ocds-r6ebe6-0000702823,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456756
83,19-08-2022,PS/22/28 - Corporate Taxi Services,AUG456754,ocds-r6ebe6-0000692266,East Ayrshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456754
84,19-08-2022,A Film School for Scotland: Mapping Existing Provision,AUG456752,ocds-r6ebe6-0000703973,Creative Scotland,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456752
85,19-08-2022,Award of 517_1345 Timber Haulage,AUG456749,ocds-r6ebe6-0000697523,Forestry and Land Scotland,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456749
86,19-08-2022,CC11389 - Independent Living Support Service for people employing or considering employing personal assistants,AUG456745,ocds-r6ebe6-0000703960,West Lothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456745
87,19-08-2022,CC11442 - Independent advocacy for Adults with Mental health and/or addictions issues,AUG456744,ocds-r6ebe6-0000703952,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456744
88,19-08-2022,Interferon Beta-1b (Extavia®),AUG456742,ocds-r6ebe6-0000703613,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456742
89,19-08-2022,Interferon Beta-1a (Avonex®),AUG456741,ocds-r6ebe6-0000703601,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456741
90,19-08-2022,Interferon Beta-1a (Rebif®),AUG456740,ocds-r6ebe6-0000703585,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456740
91,19-08-2022,Cladribine (Mavenclad®),AUG456739,ocds-r6ebe6-0000703561,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456739
92,19-08-2022,Glatiramer Injection,AUG456738,ocds-r6ebe6-0000702140,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456738
93,19-08-2022,"Undertaking of Trees Safety Works, Condition Monitoring and Tree Safety Surveys on Fochabers Estate",AUG456736,ocds-r6ebe6-0000701588,Strutt & Parker,15-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456736
94,19-08-2022,WLC (CC11674) - TMC for TR19 Cleaning of Ductwork and Ventilation Systems,AUG456735,ocds-r6ebe6-0000676755,West Lothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456735
95,19-08-2022,"Undertaking of Tree Safety Works, Condition Monitoring and Tree Safety Surveys on Glenlivet Estate",AUG456734,ocds-r6ebe6-0000703840,Crown Estate Scotland,15-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456734
96,18-08-2022,Provision of HR IT System,AUG456725,ocds-r6ebe6-0000703937,Net Zero Technology Centre Limited,05-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456725
97,18-08-2022,"Undertaking of Tree Safety Works, Condition Monitoring and Tree Safety Surveys - Applegirth Estate",AUG456723,ocds-r6ebe6-0000703880,Crown Estate Scotland,15-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456723
98,18-08-2022,New Electrical Installation works DS3950913,AUG456721,ocds-r6ebe6-0000703927,Fife Council,29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456721
99,18-08-2022,"Undertaking of Tree Safety Works, Condition Monitoring and Tree Safety Surveys - Whitehills Estate",AUG456720,ocds-r6ebe6-0000703893,Crown Estate Scotland,15-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456720
100,18-08-2022,Provision of Archaeological Assessment Services,AUG456718,ocds-r6ebe6-0000703896,Orkney Islands Council,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456718
101,18-08-2022,"WLC CC11670 - TMC for Passenger & Disabled Lifts; Installation, Repair and Servicing",AUG456717,ocds-r6ebe6-0000676710,West Lothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456717
