,0,1,2,3,4,5,6,7,url
13,22-08-2022,Project Management for the New Scottish Crannog Centre - project 1,,Reference No:AUG456933,OCID:ocds-r6ebe6-0000695594,Published By:The Scottish Crannog Centre Trust,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456933
14,22-08-2022,SEPA Environmental Radioactivity Monitoring Programme 2023 - 2029,,Reference No:AUG456931,OCID:ocds-r6ebe6-0000704154,Published By:Scottish Environment Protection Agency,Deadline Date:23-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456931
15,22-08-2022,Tractor Towed Cut and Collect Flail Mowers with High Tip,,Reference No:AUG456930,OCID:ocds-r6ebe6-0000703935,Published By:Glasgow City Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456930
16,22-08-2022,PROVISION OF RESEARCH INTO THE WHOLE FAMILY WELLBEING FUNDING - ELEMENT 2 SUPPORT PROGRAMME (2022 – 2024),,Reference No:AUG456922,OCID:ocds-r6ebe6-0000704170,Published By:Scottish Government,Deadline Date:20-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456922
17,22-08-2022,Super-resolution microscopy system,,Reference No:AUG456920,OCID:ocds-r6ebe6-0000704171,Published By:University Of Edinburgh,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456920
18,22-08-2022,Framework Agreement for Learning and Development,,Reference No:AUG456919,OCID:ocds-r6ebe6-0000704072,Published By:The City of Edinburgh Council,Deadline Date:22-Sep-22,Notice Type:21 Social and other Specific Services - Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456919
19,22-08-2022,ITU Haemofiltration,,Reference No:AUG456918,OCID:ocds-r6ebe6-0000703532,"Published By:The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",Deadline Date:,Notice Type:15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456918
20,22-08-2022,Design Team for Orkney Research and Innovation Campus Phase 2,,Reference No:AUG456917,OCID:ocds-r6ebe6-0000701685,Published By:Highlands and Islands Enterprise,Deadline Date:23-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456917
21,22-08-2022,"Bathroom Upgrades - 73x Bathrooms in Troon, Lauder, Callander and Langholm",,Reference No:AUG456914,OCID:ocds-r6ebe6-0000704179,Published By:Trust Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456914
22,22-08-2022,Banking Services Framework (2022-2026),,Reference No:AUG456912,OCID:ocds-r6ebe6-0000661609,Published By:Scottish Government,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456912
23,22-08-2022,High Pier Fenders - Inchcolm Island,,Reference No:AUG456910,OCID:ocds-r6ebe6-0000704166,Published By:Historic Environment Scotland,Deadline Date:05-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456910
24,22-08-2022,"Kitchen Upgrades - 69x Kitchens in Stirling, Callander and Thornhill",,Reference No:AUG456907,OCID:ocds-r6ebe6-0000704169,Published By:Trust Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456907
25,22-08-2022,Kitchen Upgrades - 88x Kitchens in Wishaw and Shotts,,Reference No:AUG456906,OCID:ocds-r6ebe6-0000704164,Published By:Trust Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456906
26,22-08-2022,PMR – Conservation Treatment: Costumes,,Reference No:AUG456905,OCID:ocds-r6ebe6-0000703936,Published By:Renfrewshire Council,Deadline Date:13-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456905
27,22-08-2022,"CSH22003 Grantown on Spey, Heating - Stage 2",,Reference No:AUG456901,OCID:ocds-r6ebe6-0000704155,Published By:The Highland Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456901
28,22-08-2022,Award of MSF 2017 - Safer - Creative Services,,Reference No:AUG456900,OCID:ocds-r6ebe6-0000699258,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456900
29,22-08-2022,"Refurbishment Ornamental Fountain, Dumfries",,Reference No:AUG456894,OCID:ocds-r6ebe6-0000693910,Published By:Dumfries and Galloway Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456894
30,22-08-2022,Argyll and the Islands Community Led Local Development (CLLD) Funding Programme 2022-23,,Reference No:AUG456879,OCID:ocds-r6ebe6-0000700165,Published By:Argyll and Bute Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456879
31,22-08-2022,Provision of artificial intelligence hardware and software,,Reference No:AUG456877,OCID:ocds-r6ebe6-0000703757,Published By:University of Strathclyde,Deadline Date:,Notice Type:15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456877
32,22-08-2022,"WLC Road Sweeping, Town Centre Deep Cleaning, Street Sign Cleaning",,Reference No:AUG456874,OCID:ocds-r6ebe6-0000685357,Published By:West Lothian Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456874
33,22-08-2022,Bridge Repairs at Fochabers & Glenlivet Estates,,Reference No:AUG456871,OCID:ocds-r6ebe6-0000704024,Published By:Crown Estate Scotland,Deadline Date:16-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456871
34,22-08-2022,"Lighting Column Structural Safety Inspections, North Ayrshire",,Reference No:AUG456870,OCID:ocds-r6ebe6-0000703852,Published By:North Ayrshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456870
35,22-08-2022,Framework for the ethical disposal of office equipment,,Reference No:AUG456867,OCID:ocds-r6ebe6-0000697030,Published By:Scottish Enterprise,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456867
36,22-08-2022,Overhaul of Thrusters on MPV Jura,,Reference No:AUG456866,OCID:ocds-r6ebe6-0000704088,Published By:Scottish Government,Deadline Date:21-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456866
37,22-08-2022,Award of Provision of x2 Project Coordinators,,Reference No:AUG456860,OCID:ocds-r6ebe6-0000699844,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456860
38,22-08-2022,Stakeholder Engagement Strategy,,Reference No:AUG456859,OCID:ocds-r6ebe6-0000700059,Published By:Bòrd na Gàidhlig,Deadline Date:,Notice Type:03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456859
39,22-08-2022,Supply and Installation of Street Lighting to Various Locations,,Reference No:AUG456858,OCID:ocds-r6ebe6-0000704083,Published By:Midlothian Council,Deadline Date:23-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456858
40,22-08-2022,Contract Award for FIF21124 SG SP-21-037 Banking Services,,Reference No:AUG456856,OCID:ocds-r6ebe6-0000703297,Published By:NHS Fife,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456856
41,22-08-2022,Contract Award for FIF21029 Fire Alarm Maintenance,,Reference No:AUG456855,OCID:ocds-r6ebe6-0000703238,Published By:NHS Fife,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456855
42,22-08-2022,The value of the marine environment to Scottish recreational users: a choice experiment,,Reference No:AUG456854,OCID:ocds-r6ebe6-0000704094,Published By:Scottish Government,Deadline Date:12-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456854
43,22-08-2022,"CU/556/21 Sectional Door Works Package at Muiredge Industrial Estate, Buckhaven, Leven",,Reference No:AUG456853,OCID:ocds-r6ebe6-0000704022,Published By:Fife Council,Deadline Date:29-Aug-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456853
44,22-08-2022,"Adam Smith Theatre, Phase 3 Refurbishment Works, WP001 Stage Lift",,Reference No:AUG456852,OCID:ocds-r6ebe6-0000704085,Published By:Fife Council,Deadline Date:09-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456852
45,19-08-2022,Award of Contract - Provision of Sheriff Officer Services for Scottish Courts,,Reference No:AUG456848,OCID:ocds-r6ebe6-0000686986,Published By:Scottish Courts and Tribunals Service,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456848
46,19-08-2022,Shipyard Supervision Services,,Reference No:AUG456846,OCID:ocds-r6ebe6-0000704079,Published By:Caledonian Maritime Assets Ltd (Utility),Deadline Date:20-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456846
47,19-08-2022,Modern Methods of Construction (MMC) New Homes Framework NH3,,Reference No:AUG456845,OCID:ocds-r6ebe6-0000703290,Published By:LHC for the Scottish Procurement Alliance (SPA),Deadline Date:14-Oct-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456845
48,19-08-2022,Specialist Drama Education Services for HES Junior Tour Guides Programme,,Reference No:AUG456841,OCID:ocds-r6ebe6-0000704076,Published By:Historic Environment Scotland,Deadline Date:27-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456841
49,19-08-2022,Framework Agreement for Learning and Development,,Reference No:AUG456840,OCID:ocds-r6ebe6-0000703363,Published By:The City of Edinburgh Council,Deadline Date:,Notice Type:21 Social and other Specific Services - Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456840
50,19-08-2022,Concession for the Event Planning & Delivery Services of the Gran Fondo,,Reference No:AUG456837,OCID:ocds-r6ebe6-0000704068,Published By:2023 Cycling World Championships Ltd,Deadline Date:20-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456837
51,19-08-2022,Professional Services Framework 2022 - 2026,,Reference No:AUG456836,OCID:ocds-r6ebe6-0000691115,Published By:Langstane Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456836
52,19-08-2022,Labour and Plant Framework,,Reference No:AUG456835,OCID:ocds-r6ebe6-0000704055,Published By:Tayside Contracts,Deadline Date:21-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456835
53,19-08-2022,Provision of Furniture Goods,,Reference No:AUG456832,OCID:ocds-r6ebe6-0000704059,Published By:Trust Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456832
54,19-08-2022,Provision of Floor Coverings,,Reference No:AUG456820,OCID:ocds-r6ebe6-0000704050,Published By:Trust Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456820
55,19-08-2022,PROC 22 1482(B) - Shetland Housing Stock External & Internal Refurbishment Works,,Reference No:AUG456818,OCID:ocds-r6ebe6-0000704042,Published By:Scottish Police Authority,Deadline Date:16-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456818
56,19-08-2022,MFA for Design Standards Advice and Professional Advice - DMRB Drainage Standards Review,,Reference No:AUG456814,OCID:ocds-r6ebe6-0000699848,Published By:Transport Scotland,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456814
57,19-08-2022,Meet the Buyer North Event - 7th September 2022,,Reference No:AUG456813,OCID:ocds-r6ebe6-0000703907,Published By:Moray Council,Deadline Date:,Notice Type:01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456813
58,19-08-2022,Installation and Maintenance of Network Cabling & Related Services,,Reference No:AUG456811,OCID:ocds-r6ebe6-0000693887,Published By:North Ayrshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456811
59,19-08-2022,"Construction of Flats & FIT Homes, Cawdor Road, Nairn",,Reference No:AUG456806,OCID:ocds-r6ebe6-0000661871,Published By:Albyn Housing Society Limited,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456806
60,19-08-2022,Elderpark Housing Association - Two Year Responsive Repairs Services and Void Property Works Contract 2022-2024,,Reference No:AUG456805,OCID:ocds-r6ebe6-0000696572,Published By:Elderpark Housing Association,Deadline Date:,Notice Type:03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456805
61,19-08-2022,Peatland ACTION - Proposed Restoration - Camster and Thrumster - Caithness,,Reference No:AUG456803,OCID:ocds-r6ebe6-0000703997,Published By:Scottish Natural Heritage,Deadline Date:08-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456803
62,19-08-2022,Reopening of Flexible Framework for Early Learning and Childcare Places (New Entrants January 2022),,Reference No:AUG456801,OCID:ocds-r6ebe6-0000667761,Published By:Renfrewshire Council,Deadline Date:,Notice Type:21 Social and other Specific Services - Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456801
63,19-08-2022,"WLC Plumbing, Gas & Heating Spares",,Reference No:AUG456800,OCID:ocds-r6ebe6-0000683032,Published By:West Lothian Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456800
64,19-08-2022,2549 - Design Services for CPI Coxon Building expansion to existing pharmaceutical laboratories,,Reference No:AUG456799,OCID:ocds-r6ebe6-0000704007,Published By:Centre for Process Innovation Limited,Deadline Date:05-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456799
65,19-08-2022,"P7601935 Glen Pavilion, Changing Places, Electrical Installation",,Reference No:AUG456796,OCID:ocds-r6ebe6-0000704017,Published By:Fife Council,Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456796
66,19-08-2022,2306 - Procurement Resourcing Framework,,Reference No:AUG456792,OCID:ocds-r6ebe6-0000670814,Published By:Centre for Process Innovation Limited,Deadline Date:18-Aug-22,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456792
67,19-08-2022,Framework for Glazing Replacement Works,,Reference No:AUG456791,OCID:ocds-r6ebe6-0000703970,Published By:Fife Council,Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456791
68,19-08-2022,CC11527 - Short Breaks Respite at Home and in the Community Flexible Framework,,Reference No:AUG456784,OCID:ocds-r6ebe6-0000703969,Published By:West Lothian Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456784
69,19-08-2022,10820 Installation of Heating Controls within D Hall at HMP Barlinnie,,Reference No:AUG456783,OCID:ocds-r6ebe6-0000691730,Published By:Scottish Prison Service,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456783
70,19-08-2022,"EDC/2022/3499 - Study of Waiting & Loading in Cowgate, Kirkintilloch",,Reference No:AUG456781,OCID:ocds-r6ebe6-0000701502,Published By:East Dunbartonshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456781
71,19-08-2022,"Provision of Fireworks, Pyrotechnics and Special Effects",,Reference No:AUG456780,OCID:ocds-r6ebe6-0000703417,Published By:Glasgow Life (Culture & Sport Glasgow),Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456780
72,19-08-2022,CS-MC-19069 Provision of Associate Trainers - Framework,,Reference No:AUG456779,OCID:ocds-r6ebe6-0000696734,Published By:UHI Moray,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456779
73,19-08-2022,Aberdeenshire Resurfacing Works 2022-23,,Reference No:AUG456777,OCID:ocds-r6ebe6-0000703962,Published By:Aberdeenshire Council,Deadline Date:09-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456777
74,19-08-2022,WLC Trades Contractors Framework,,Reference No:AUG456773,OCID:ocds-r6ebe6-0000667659,Published By:West Lothian Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456773
75,19-08-2022,Back-end Software Engineer,,Reference No:AUG456772,OCID:ocds-r6ebe6-0000703414,Published By:Disclosure Scotland,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456772
76,19-08-2022,Back-end Software Engineer,,Reference No:AUG456771,OCID:ocds-r6ebe6-0000703500,Published By:Disclosure Scotland,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456771
77,19-08-2022,Back-end Software Engineer,,Reference No:AUG456768,OCID:ocds-r6ebe6-0000703506,Published By:Disclosure Scotland,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456768
78,19-08-2022,Planned Residential Respite Care for Older People,,Reference No:AUG456767,OCID:ocds-r6ebe6-0000703711,Published By:East Lothian Council,Deadline Date:,Notice Type:21 Social and other Specific Services - PIN,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456767
79,19-08-2022,Kitchen Unit Replacements & Boiler Renewals 2022 - 2023 (Pineview Housing Association),,Reference No:AUG456766,OCID:ocds-r6ebe6-0000701944,Published By:Pineview Housing Association Ltd,Deadline Date:19-Oct-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456766
80,19-08-2022,Noblehill Nursery Extension works,,Reference No:AUG456760,OCID:ocds-r6ebe6-0000697621,Published By:Dumfries and Galloway Council,Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456760
81,19-08-2022,Framework For Transportation - Mini Competition ASN Buses,,Reference No:AUG456757,OCID:ocds-r6ebe6-0000701680,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456757
82,19-08-2022,Framework For Transportation - Mini Competition ASN Taxis,,Reference No:AUG456756,OCID:ocds-r6ebe6-0000702823,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456756
83,19-08-2022,PS/22/28 - Corporate Taxi Services,,Reference No:AUG456754,OCID:ocds-r6ebe6-0000692266,Published By:East Ayrshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456754
84,19-08-2022,A Film School for Scotland: Mapping Existing Provision,,Reference No:AUG456752,OCID:ocds-r6ebe6-0000703973,Published By:Creative Scotland,Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456752
85,19-08-2022,Award of 517_1345 Timber Haulage,,Reference No:AUG456749,OCID:ocds-r6ebe6-0000697523,Published By:Forestry and Land Scotland,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456749
